selling_date,product_id,sold_quantity,selling_price,category_id,branch_id,month,weekday,moving_avg_7d,moving_avg_30d
2023-01-01,321,18,4.00,7,1,1,1,18.00,18.00
2023-01-01,575,3,4.50,2,1,1,1,3.00,3.00
2023-01-01,358,14,1.50,7,1,1,1,14.00,14.00
2023-01-01,209,6,1.00,2,1,1,1,6.00,6.00
2023-01-01,45,16,2.00,2,1,1,1,16.00,16.00
2023-01-01,193,13,3.50,7,1,1,1,13.00,13.00
2023-01-01,430,1,9.00,7,1,1,1,1.00,1.00
2023-01-01,187,11,7.00,7,1,1,1,11.00,11.00
2023-01-02,579,16,8.00,7,1,1,2,16.00,16.00
2023-01-02,224,6,35.00,4,1,1,2,6.00,6.00
2023-01-02,496,14,21.00,8,1,1,2,14.00,14.00
2023-01-02,2,2,20.00,2,1,1,2,2.00,2.00
2023-01-02,184,2,80.00,7,1,1,2,2.00,2.00
2023-01-02,300,14,12.00,10,1,1,2,14.00,14.00
2023-01-02,428,16,7.00,7,1,1,2,16.00,16.00
2023-01-02,543,18,1.00,2,1,1,2,18.00,18.00
2023-01-02,261,7,600.00,3,1,1,2,7.00,7.00
2023-01-02,18,6,10.00,2,1,1,2,6.00,6.00
2023-01-02,181,3,50.00,7,1,1,2,3.00,3.00
2023-01-02,540,15,2.00,2,1,1,2,15.00,15.00
2023-01-03,183,6,55.00,7,1,1,3,6.00,6.00
2023-01-03,278,18,15.00,2,1,1,3,18.00,18.00
2023-01-03,19,9,25.00,2,1,1,3,9.00,9.00
2023-01-03,162,9,13.00,7,1,1,3,9.00,9.00
2023-01-03,186,9,2.50,7,1,1,3,9.00,9.00
2023-01-03,142,17,1.00,7,1,1,3,17.00,17.00
2023-01-03,176,4,18.00,7,1,1,3,4.00,4.00
2023-01-03,285,19,5.00,2,1,1,3,19.00,19.00
2023-01-03,106,13,100.00,7,1,1,3,13.00,13.00
2023-01-03,105,2,80.00,7,1,1,3,2.00,2.00
2023-01-03,202,19,20.00,2,1,1,3,19.00,19.00
2023-01-03,229,12,150.00,7,1,1,3,12.00,12.00
2023-01-03,300,6,12.00,10,1,1,3,10.00,10.00
2023-01-04,43,12,2.00,2,1,1,4,12.00,12.00
2023-01-04,338,14,9.00,7,1,1,4,14.00,14.00
2023-01-04,59,8,3.30,2,1,1,4,8.00,8.00
2023-01-04,535,8,50.00,2,1,1,4,8.00,8.00
2023-01-04,519,5,0.60,2,1,1,4,5.00,5.00
2023-01-05,455,14,18.00,7,1,1,5,14.00,14.00
2023-01-05,63,7,8.00,2,1,1,5,7.00,7.00
2023-01-05,338,15,9.00,7,1,1,5,14.50,14.50
2023-01-05,258,17,900.00,3,1,1,5,17.00,17.00
2023-01-05,187,11,7.00,7,1,1,5,11.00,11.00
2023-01-05,646,13,8.50,5,1,1,5,13.00,13.00
2023-01-05,227,5,350.00,4,1,1,5,5.00,5.00
2023-01-05,104,19,60.00,8,1,1,5,19.00,19.00
2023-01-05,429,13,10.00,7,1,1,5,13.00,13.00
2023-01-05,179,1,8.00,7,1,1,5,1.00,1.00
2023-01-05,59,9,3.30,2,1,1,5,8.50,8.50
2023-01-06,355,18,2.00,7,1,1,6,18.00,18.00
2023-01-06,10,2,3.00,2,1,1,6,2.00,2.00
2023-01-06,163,12,20.00,7,1,1,6,12.00,12.00
2023-01-06,557,7,124.00,2,1,1,6,7.00,7.00
2023-01-06,16,2,5.00,2,1,1,6,2.00,2.00
2023-01-06,194,6,6.00,7,1,1,6,6.00,6.00
2023-01-06,430,5,9.00,7,1,1,6,3.00,3.00
2023-01-06,571,16,7.00,2,1,1,6,16.00,16.00
2023-01-07,194,6,6.00,7,1,1,7,6.00,6.00
2023-01-07,390,2,3.00,7,1,1,7,2.00,2.00
2023-01-07,55,1,17.00,2,1,1,7,1.00,1.00
2023-01-07,400,2,20.00,7,1,1,7,2.00,2.00
2023-01-07,216,18,55.00,7,1,1,7,18.00,18.00
2023-01-08,571,19,7.00,2,1,1,1,17.50,17.50
2023-01-08,171,6,9.00,7,1,1,1,6.00,6.00
2023-01-08,314,7,3.00,7,1,1,1,7.00,7.00
2023-01-08,643,1,32.00,5,1,1,1,1.00,1.00
2023-01-08,352,2,30.00,7,1,1,1,2.00,2.00
2023-01-08,443,2,15.00,7,1,1,1,2.00,2.00
2023-01-08,210,6,2.00,2,1,1,1,6.00,6.00
2023-01-08,291,19,15.00,2,1,1,1,19.00,19.00
2023-01-08,184,8,80.00,7,1,1,1,5.00,5.00
2023-01-08,546,19,14.00,2,1,1,1,19.00,19.00
2023-01-08,34,1,2.00,2,1,1,1,1.00,1.00
2023-01-08,645,12,27.00,5,1,1,1,12.00,12.00
2023-01-08,540,14,2.00,2,1,1,1,14.50,14.50
2023-01-09,218,6,5550.00,6,1,1,2,6.00,6.00
2023-01-09,385,9,1.00,7,1,1,2,9.00,9.00
2023-01-09,469,17,43.00,8,1,1,2,17.00,17.00
2023-01-09,655,11,11.50,5,1,1,2,11.00,11.00
2023-01-09,72,1,45.00,2,1,1,2,1.00,1.00
2023-01-09,13,3,12.00,2,1,1,2,3.00,3.00
2023-01-09,534,6,20.00,2,1,1,2,6.00,6.00
2023-01-09,285,4,5.00,2,1,1,2,11.50,11.50
2023-01-09,318,5,5.00,7,1,1,2,5.00,5.00
2023-01-09,564,17,65.00,2,1,1,2,17.00,17.00
2023-01-09,290,6,1.50,2,1,1,2,6.00,6.00
2023-01-10,459,19,1.50,10,1,1,3,19.00,19.00
2023-01-10,534,12,20.00,2,1,1,3,9.00,9.00
2023-01-10,108,5,31.20,7,1,1,3,5.00,5.00
2023-01-10,577,6,12.00,7,1,1,3,6.00,6.00
2023-01-10,42,18,1.33,2,1,1,3,18.00,18.00
2023-01-10,161,8,1.00,7,1,1,3,8.00,8.00
2023-01-10,128,2,19.00,7,1,1,3,2.00,2.00
2023-01-10,329,1,2.00,7,1,1,3,1.00,1.00
2023-01-10,214,11,45.00,7,1,1,3,11.00,11.00
2023-01-10,141,14,1.00,7,1,1,3,14.00,14.00
2023-01-11,376,13,22.00,7,1,1,4,13.00,13.00
2023-01-11,81,7,7.00,10,1,1,4,9.50,9.50
2023-01-11,73,15,3.00,2,1,1,4,15.00,15.00
2023-01-11,324,11,35.00,7,1,1,4,11.00,11.00
2023-01-11,50,2,10.00,2,1,1,4,2.00,2.00
2023-01-11,81,12,7.00,10,1,1,4,9.50,9.50
2023-01-11,80,4,10.00,10,1,1,4,4.00,4.00
2023-01-11,13,11,12.00,2,1,1,4,7.00,7.00
2023-01-11,462,16,5.00,10,1,1,4,16.00,16.00
2023-01-11,384,6,0.15,7,1,1,4,6.00,6.00
2023-01-11,548,3,8.00,2,1,1,4,3.00,3.00
2023-01-12,69,1,17.00,2,1,1,5,1.00,1.00
2023-01-12,540,17,2.00,2,1,1,5,15.50,15.33
2023-01-12,394,12,1.00,7,1,1,5,12.00,12.00
2023-01-12,461,1,1.50,10,1,1,5,1.00,1.00
2023-01-12,197,2,29.00,7,1,1,5,2.00,2.00
2023-01-12,487,12,49.00,8,1,1,5,12.00,12.00
2023-01-12,384,2,0.15,7,1,1,5,4.00,4.00
2023-01-12,465,14,290.00,8,1,1,5,14.00,14.00
2023-01-12,530,11,4.00,2,1,1,5,11.00,11.00
2023-01-12,172,14,4.00,7,1,1,5,14.00,14.00
2023-01-12,115,7,520.00,3,1,1,5,7.00,7.00
2023-01-12,21,8,90.00,2,1,1,5,8.00,8.00
2023-01-12,22,7,12.00,2,1,1,5,7.00,7.00
2023-01-12,54,12,10.00,2,1,1,5,12.00,12.00
2023-01-12,80,2,10.00,10,1,1,5,3.00,3.00
2023-01-13,429,2,10.00,7,1,1,6,2.00,7.50
2023-01-13,87,9,20.00,7,1,1,6,9.00,9.00
2023-01-13,186,16,2.50,7,1,1,6,16.00,12.50
2023-01-13,377,2,0.40,7,1,1,6,2.00,2.00
2023-01-13,426,15,95.00,7,1,1,6,15.00,15.00
2023-01-13,604,17,32.00,5,1,1,6,17.00,17.00
2023-01-13,564,11,65.00,2,1,1,6,14.00,14.00
2023-01-13,129,9,1.00,7,1,1,6,9.00,9.00
2023-01-13,575,19,4.50,2,1,1,6,19.00,11.00
2023-01-13,613,4,28.00,5,1,1,6,4.00,4.00
2023-01-13,454,6,10.00,7,1,1,6,6.00,6.00
2023-01-13,608,2,100.00,5,1,1,6,2.00,2.00
2023-01-13,273,4,45.00,2,1,1,6,4.00,4.00
2023-01-13,84,17,6.00,7,1,1,6,17.00,17.00
2023-01-14,204,18,1386.00,2,1,1,7,18.00,18.00
2023-01-14,401,3,4.00,7,1,1,7,3.00,3.00
2023-01-14,20,1,8.00,2,1,1,7,1.00,1.00
2023-01-14,63,7,8.00,2,1,1,7,7.00,7.00
2023-01-14,197,7,29.00,7,1,1,7,4.50,4.50
2023-01-14,230,1,13.00,10,1,1,7,1.00,1.00
2023-01-14,181,2,50.00,7,1,1,7,2.00,2.50
2023-01-14,530,14,4.00,2,1,1,7,12.50,12.50
2023-01-14,29,12,165.00,2,1,1,7,12.00,12.00
2023-01-14,425,14,55.00,7,1,1,7,14.00,14.00
2023-01-15,399,18,45.00,7,1,1,1,18.00,18.00
2023-01-15,269,12,50.00,10,1,1,1,12.00,12.00
2023-01-15,3,2,21.00,2,1,1,1,2.00,2.00
2023-01-15,652,12,20.00,5,1,1,1,12.00,12.00
2023-01-15,332,2,50.00,7,1,1,1,2.00,2.00
2023-01-15,52,13,4.50,2,1,1,1,13.00,13.00
2023-01-15,174,1,15.00,7,1,1,1,1.00,1.00
2023-01-15,234,14,38.00,10,1,1,1,14.00,14.00
2023-01-16,12,14,4.00,2,1,1,2,14.00,14.00
2023-01-16,539,17,3.50,2,1,1,2,17.00,17.00
2023-01-16,519,12,0.60,2,1,1,2,12.00,8.50
2023-01-16,580,18,10.00,7,1,1,2,18.00,18.00
2023-01-16,529,14,9.50,2,1,1,2,14.00,14.00
2023-01-16,321,1,4.00,7,1,1,2,1.00,9.50
2023-01-16,213,4,60.00,7,1,1,2,4.00,4.00
2023-01-16,372,19,40.00,7,1,1,2,19.00,19.00
2023-01-17,521,19,2.50,2,1,1,3,19.00,19.00
2023-01-17,13,11,12.00,2,1,1,3,11.00,8.33
2023-01-17,16,1,5.00,2,1,1,3,1.00,1.50
2023-01-17,301,6,25.00,10,1,1,3,6.00,6.00
2023-01-17,290,8,1.50,2,1,1,3,8.00,7.00
2023-01-17,61,3,4.00,2,1,1,3,3.00,3.00
2023-01-17,268,9,50.00,7,1,1,3,9.00,9.00
2023-01-17,426,16,95.00,7,1,1,3,15.50,15.50
2023-01-17,539,18,3.50,2,1,1,3,17.50,17.50
2023-01-18,70,13,40.00,2,1,1,4,13.00,13.00
2023-01-18,408,8,45.00,9,1,1,4,8.00,8.00
2023-01-18,146,6,50.00,7,1,1,4,6.00,6.00
2023-01-18,203,5,20.00,2,1,1,4,5.00,5.00
2023-01-18,650,15,25.00,5,1,1,4,15.00,15.00
