product_id,stock_quantity,sold_quantity,buying_price,selling_price,days_since_last_purchase,margin
1,17,0,32.2,35,759,2.8
17,22,0,4.6,5,755,0.4
24,9,0,18.4,20,740,1.6
31,14,0,138,150,750,12
32,12,0,11.04,12,754,0.96
40,4,0,41.4,45,766,3.6
46,20,0,3.68,4,744,0.32
49,62,0,2.3,2.5,744,0.2
56,10,0,13.8,15,753,1.2
60,77,0,7.82,9,746,1.18
66,7,0,18.4,20,760,1.6
67,13,0,11.04,12,749,0.96
71,4,0,55.2,60,758,4.8
76,4,0,11.04,12,749,0.96
86,18,0,11.96,13,764,1.04
90,16,0,1.84,2,765,0.16
94,18,0,11.96,13,766,1.04
101,11,0,13.8,15,744,1.2
112,8,0,368,400,751,32
122,8,0,1.84,2,738,0.16
126,17,0,1.84,2,760,0.16
136,4,0,41.4,45,755,3.6
144,6,0,18.4,20,741,1.6
148,3,0,165.6,180,742,14.4
149,7,0,193.2,210,748,16.8
157,7,0,1.84,2,753,0.16
164,31,0,2.76,3,758,0.24
166,9,0,4.6,5,759,0.4
168,14,0,78.2,85,760,6.8
170,14,0,207,225,755,18
175,114,0,3.22,7,752,3.78
178,7,0,207,225,741,18
188,19,0,13.8,15,756,1.2
190,26,0,59.8,65,740,5.2
192,42,0,4.6,5,754,0.4
200,16,0,98.44,107,755,8.56
212,42,0,5.52,6,752,0.48
220,34,0,0.46,0.5,746,0.04
223,1,0,11.04,12,762,0.96
231,30,0,0.92,1,759,0.08
232,17,0,27.6,30,746,2.4
236,7,0,18.4,20,740,1.6
250,23,0,124.2,135,761,10.8
254,4,0,312.8,340,763,27.2
257,11,0,1380,1500,744,120
263,8,0,41.4,45,746,3.6
270,28,0,96.6,110,766,13.4
272,5,0,533.6,580,738,46.4
282,12,0,4.6,5,752,0.4
286,25,0,2.76,3,743,0.24
289,14,0,5.52,6,746,0.48
292,6,0,230,250,752,20
295,14,0,34.96,38,746,3.04
299,8,0,32.2,35,743,2.8
308,13,0,2.76,3,760,0.24
312,12,0,1.84,2,754,0.16
313,10,0,1.84,2,764,0.16
317,21,0,1.84,2,756,0.16
351,12,0,25.76,28,740,2.24
353,13,0,53.36,58,759,4.64
360,8,0,5.52,6,764,0.48
363,15,0,1.38,1.5,758,0.12
380,10,0,5.52,6,754,0.48
382,20,0,13.8,15,752,1.2
393,13,0,4.6,5,759,0.4
395,45,0,2.76,3,763,0.24
396,11,0,5.52,6,743,0.48
421,42,0,3.22,3.5,756,0.28
423,16,0,13.8,15,754,1.2
427,71,0,8.28,9,760,0.72
434,11,0,10.12,11,754,0.88
435,33,0,57.96,63,744,5.04
436,6,0,1.84,2,753,0.16
442,37,0,7.36,8,749,0.64
444,15,0,3.68,4,767,0.32
446,8,0,13.8,15,741,1.2
458,15,0,2.76,3,754,0.24
466,19,0,257.6,280,757,22.4
470,43,0,56.12,61,760,4.88
473,3,0,62.56,68,744,5.44
476,12,0,50.6,55,745,4.4
481,8,0,28.98,31.5,767,2.52
488,3,0,10.49,11.4,761,0.91
492,7,0,35.88,39,762,3.12
497,7,0,82.8,90,760,7.2
498,6,0,87.4,95,741,7.6
505,13,0,35.88,39,760,3.12
506,9,0,85.56,93,750,7.44
523,3,0,12.88,14,762,1.12
524,7,0,4.14,4.5,759,0.36
528,51,0,4.6,5,766,0.4
531,20,0,15.64,17,742,1.36
533,16,0,15.64,17,767,1.36
537,27,0,14.72,16,765,1.28
541,20,0,11.04,12,750,0.96
545,9,0,1.38,1.5,752,0.12
550,5,0,23,25,744,2
551,9,0,27.6,30,766,2.4
555,17,0,184,200,752,16
558,4,0,221.72,241,751,19.28
559,6,0,460,500,751,40
573,10,0,13.8,18,760,4.2
578,16,0,1.84,2,748,0.16
581,31,0,1.93,2.1,758,0.17
585,11,0,13.8,15,743,1.2
586,12,0,13.8,15,750,1.2
591,3,0,23,25,763,2
598,5,0,69,75,762,6
599,3,0,50.6,55,764,4.4
605,4,0,82.8,90,745,7.2
609,17,0,1.84,2,767,0.16
612,1,0,22.08,24,739,1.92
618,51,0,2.3,2.5,749,0.2
628,4,0,818.8,890,749,71.2
631,10,0,50.6,55,745,4.4
632,31,0,166.52,181,757,14.48
641,6,0,105.8,115,743,9.2
651,10,0,16.56,18,766,1.44
654,7,0,23,25,756,2
656,3,0,13.8,15,745,1.2
