product_id,year_month,total_sold_quantity,total_stock_quantity,avg_buying_price,avg_selling_price,month,quarter,first_purchase_date,last_purchase_date,prev_sold_quantity_1,prev_sold_quantity_2,prev_sold_quantity_3,stock_out
321,2023-01,19,60,1.84,2,1,1,2022-11-25,2022-11-25,0,0,0,0
321,2023-03,8,60,1.84,2,3,1,2022-11-25,2022-11-25,0,0,19,0
321,2023-05,29,60,1.84,2,5,2,2022-11-25,2022-11-25,0,0,8,0
321,2023-06,4,30,1.84,2,6,2,2022-11-25,2022-11-25,0,29,0,0
321,2023-08,21,60,1.84,2,8,3,2022-11-25,2022-11-25,0,0,4,0
321,2023-12,19,30,1.84,2,12,4,2022-11-25,2022-11-25,0,0,0,0
321,2024-07,3,30,1.84,2,7,3,2022-11-25,2022-11-25,0,0,0,0
321,2024-10,250,197,1.84,2,10,4,2022-11-25,2024-09-25,0,0,0,0
575,2023-01,22,36,6.44,7,1,1,2022-11-08,2022-11-08,0,0,0,0
575,2023-06,17,18,6.44,7,6,2,2022-11-08,2022-11-08,0,0,0,0
575,2023-07,6,18,6.44,7,7,3,2022-11-08,2022-11-08,0,17,0,0
575,2023-08,1,18,6.44,7,8,3,2022-11-08,2022-11-08,0,6,17,0
575,2023-09,36,36,6.44,7,9,3,2022-11-08,2022-11-08,0,1,6,0
575,2024-04,4,18,6.44,7,4,2,2022-11-08,2022-11-08,0,0,0,0
575,2024-07,3,18,6.44,7,7,3,2022-11-08,2022-11-08,0,0,0,0
575,2024-08,25,122,6.44,7,8,3,2022-11-08,2024-08-19,0,3,0,0
358,2023-01,14,12,1.38,1.5,1,1,2022-11-19,2022-11-19,0,0,0,0
358,2023-02,1,12,1.38,1.5,2,1,2022-11-19,2022-11-19,0,14,0,0
358,2023-03,18,24,1.38,1.5,3,1,2022-11-19,2022-11-19,0,1,14,0
358,2023-04,1,12,1.38,1.5,4,2,2022-11-19,2022-11-19,0,18,1,0
358,2023-05,11,12,1.38,1.5,5,2,2022-11-19,2022-11-19,0,1,18,0
358,2023-10,15,12,1.38,1.5,10,4,2022-11-19,2022-11-19,0,0,0,0
358,2024-02,10,78,1.38,1.5,2,1,2022-11-19,2024-02-08,0,0,0,0
209,2023-01,6,61,0.92,1,1,1,2022-11-22,2022-11-22,0,0,0,0
209,2023-09,3,61,0.92,1,9,3,2022-11-22,2022-11-22,0,0,0,0
209,2024-07,200,122,0.92,1,7,3,2022-11-22,2022-11-22,0,0,0,0
209,2024-08,500,407,0.92,1,8,3,2022-11-22,2024-08-20,0,200,0,0
45,2023-01,16,33,1.84,2,1,1,2022-11-25,2022-11-25,0,0,0,0
45,2023-03,27,66,1.84,2,3,1,2022-11-25,2022-11-25,0,0,16,0
45,2023-04,16,33,1.84,2,4,2,2022-11-25,2022-11-25,0,27,0,0
45,2023-05,17,33,1.84,2,5,2,2022-11-25,2022-11-25,0,16,27,0
45,2023-06,14,66,1.84,2,6,2,2022-11-25,2022-11-25,0,17,16,0
45,2023-07,12,33,1.84,2,7,3,2022-11-25,2022-11-25,0,14,17,0
45,2023-09,21,66,1.84,2,9,3,2022-11-25,2022-11-25,0,0,12,0
45,2023-11,14,33,1.84,2,11,4,2022-11-25,2022-11-25,0,0,21,0
45,2023-12,14,33,1.84,2,12,4,2022-11-25,2022-11-25,0,14,0,0
