product_id,stock_quantity,sold_quantity,buying_price,selling_price,days_since_last_purchase,margin
1,105,88,32.2,35,761,2.8
2,115,83,18.4,20,761,1.6
3,110,76,23,25,761,2
4,110,86,16.56,18,761,1.44
5,50,58,41.4,45,761,3.6
6,85,76,69.92,76,761,6.08
7,80,80,16.56,18,761,1.44
8,65,67,230,250,761,20
9,45,57,184,200,761,16
10,120,113,2.76,3,761,0.24
11,15,11,271.4,295,761,23.6
12,160,135,7.36,8,761,0.64
13,130,117,11.04,12,761,0.96
14,95,84,2.76,3,761,0.24
15,110,110,4.6,5,761,0.4
16,80,45,4.6,5,761,0.4
17,115,95,4.6,5,761,0.4
18,90,83,11.04,12,761,0.96
19,80,68,12.88,14,761,1.12
20,90,81,20.24,22,761,1.76
21,75,65,12.88,14,761,1.12
22,100,107,11.04,12,761,0.96
23,125,106,11.04,12,761,0.96
24,60,47,18.4,20,761,1.6
25,100,96,18.4,20,761,1.6
26,135,137,18.4,20,761,1.6
27,105,78,16.56,18,761,1.44
28,110,77,18.4,20,761,1.6
29,105,91,151.8,165,761,13.2
30,105,106,151.8,165,761,13.2
31,75,57,138,150,761,12
32,95,60,11.04,12,761,0.96
33,60,45,0.92,1,761,0.08
34,90,64,1.84,2,761,0.16
35,60,49,0.92,1,761,0.08
36,45,45,2.76,3,761,0.24
37,60,63,11.96,13,761,1.04
38,80,82,4.6,5,761,0.4
39,35,28,62.56,68,761,5.44
40,10,17,41.4,45,761,3.6
41,150,132,2.3,2.5,761,0.2
42,200,160,1.2266666666667,1.3333333333333,761,0.10666666666667
43,145,127,0.46,0.5,761,0.04
44,155,141,1.38,1.5,761,0.12
45,170,151,1.84,2,761,0.16
46,130,101,3.68,4,761,0.32
47,75,66,11.04,12,761,0.96
48,60,53,59.7908,64.99,761,5.1992
49,130,149,2.3,2.5,761,0.2
50,105,85,10.12,11,761,0.88
51,190,154,3.68,4,761,0.32
52,125,109,7.36,8,761,0.64
53,45,33,15.64,17,761,1.36
