product_id,selling_date,stock_quantity,current_quantity,buying_price,selling_price,sold_quantity,days_since_last_purchase,margin
321,"2023-01-01 00:00:00",110,22,1.84,2,18,760,0.16
575,"2023-01-01 00:00:00",100,26,6.44,7,3,760,0.56
358,"2023-01-01 00:00:00",65,15,1.38,1.5,14,760,0.12
209,"2023-01-01 00:00:00",15,6,0.92,1,6,760,0.08
45,"2023-01-01 00:00:00",170,40,1.84,2,16,760,0.16
193,"2023-01-01 00:00:00",175,47,3.22,3.5,13,760,0.28
430,"2023-01-01 00:00:00",95,17,8.28,9,1,760,0.72
187,"2023-01-01 00:00:00",175,33,3.68,4,11,760,0.32
579,"2023-01-02 00:00:00",80,10,7.36,8,16,760,0.64
224,"2023-01-02 00:00:00",40,12,32.2,35,6,760,2.8
496,"2023-01-02 00:00:00",50,21,18.4,20,14,760,1.6
2,"2023-01-02 00:00:00",115,37,18.4,20,2,760,1.6
184,"2023-01-02 00:00:00",135,35,73.6,80,2,760,6.4
300,"2023-01-02 00:00:00",65,18,11.04,12,14,760,0.96
428,"2023-01-02 00:00:00",180,35,6.44,7,16,760,0.56
543,"2023-01-02 00:00:00",100,19,9.2,10,18,760,0.8
261,"2023-01-02 00:00:00",120,29,552,600,7,760,48
18,"2023-01-02 00:00:00",90,17,11.04,12,6,760,0.96
181,"2023-01-02 00:00:00",60,10,46,50,3,760,4
540,"2023-01-02 00:00:00",135,13,4.6,5,15,760,0.4
183,"2023-01-03 00:00:00",70,29,50.6,55,6,760,4.4
278,"2023-01-03 00:00:00",30,11,13.8,15,18,760,1.2
19,"2023-01-03 00:00:00",80,18,12.88,14,9,760,1.12
162,"2023-01-03 00:00:00",110,32,13.8,15,9,760,1.2
186,"2023-01-03 00:00:00",175,47,2.3,2.5,9,760,0.2
142,"2023-01-03 00:00:00",65,17,0.92,1,17,760,0.08
176,"2023-01-03 00:00:00",70,17,46,50,4,760,4
285,"2023-01-03 00:00:00",15,1,4.6,5,19,760,0.4
106,"2023-01-03 00:00:00",125,32,110.4,120,13,760,9.6
105,"2023-01-03 00:00:00",110,27,64.4,70,2,760,5.6
202,"2023-01-03 00:00:00",90,12,18.4,20,19,760,1.6
229,"2023-01-03 00:00:00",15,4,138,150,12,760,12
300,"2023-01-03 00:00:00",65,18,11.04,12,6,760,0.96
43,"2023-01-04 00:00:00",145,36,0.46,0.5,12,760,0.04
338,"2023-01-04 00:00:00",120,28,8.28,9,14,760,0.72
59,"2023-01-04 00:00:00",110,17,2.024,2.2,8,760,0.176
535,"2023-01-04 00:00:00",100,27,46,50,8,760,4
519,"2023-01-04 00:00:00",125,16,0.368,0.4,5,760,0.032
455,"2023-01-05 00:00:00",45,6,22.08,24,14,760,1.92
63,"2023-01-05 00:00:00",95,24,5.06184,5.502,7,760,0.44016
338,"2023-01-05 00:00:00",120,28,8.28,9,15,760,0.72
258,"2023-01-05 00:00:00",140,41,874,950,17,760,76
187,"2023-01-05 00:00:00",175,33,3.68,4,11,760,0.32
646,"2023-01-05 00:00:00",80,18,16.56,18,13,760,1.44
227,"2023-01-05 00:00:00",35,3,322,350,5,760,28
104,"2023-01-05 00:00:00",90,13,55.2,60,19,760,4.8
429,"2023-01-05 00:00:00",145,31,9.2,10,13,760,0.8
179,"2023-01-05 00:00:00",80,14,7.36,8,1,760,0.64
59,"2023-01-05 00:00:00",110,17,2.024,2.2,9,760,0.176
355,"2023-01-06 00:00:00",20,2,1.84,2,18,760,0.16
10,"2023-01-06 00:00:00",120,29,2.76,3,2,760,0.24
163,"2023-01-06 00:00:00",105,16,18.4,20,12,760,1.6
557,"2023-01-06 00:00:00",30,7,114.08,124,7,760,9.92
16,"2023-01-06 00:00:00",80,41,4.6,5,2,760,0.4
194,"2023-01-06 00:00:00",160,25,6.9,7.5,6,760,0.6
430,"2023-01-06 00:00:00",95,17,8.28,9,5,760,0.72
571,"2023-01-06 00:00:00",85,17,9.2,10,16,760,0.8
194,"2023-01-07 00:00:00",160,25,6.9,7.5,6,760,0.6
390,"2023-01-07 00:00:00",25,11,2.76,3,2,760,0.24
55,"2023-01-07 00:00:00",90,26,14.72,16,1,760,1.28
400,"2023-01-07 00:00:00",35,14,18.4,20,2,760,1.6
216,"2023-01-07 00:00:00",40,7,50.6,55,18,760,4.4
571,"2023-01-08 00:00:00",85,17,9.2,10,19,760,0.8
171,"2023-01-08 00:00:00",70,13,8.28,9,6,760,0.72
314,"2023-01-08 00:00:00",55,10,2.76,3,7,760,0.24
643,"2023-01-08 00:00:00",5,2,151.8,165,1,760,13.2
352,"2023-01-08 00:00:00",0,0,13.8,15,2,760,1.2
443,"2023-01-08 00:00:00",20,0,13.8,15,2,760,1.2
210,"2023-01-08 00:00:00",30,8,1.84,2,6,760,0.16
291,"2023-01-08 00:00:00",65,5,11.04,12,19,760,0.96
184,"2023-01-08 00:00:00",135,35,73.6,80,8,760,6.4
546,"2023-01-08 00:00:00",65,8,9.2,10,19,760,0.8
34,"2023-01-08 00:00:00",90,28,1.84,2,1,760,0.16
645,"2023-01-08 00:00:00",15,1,22.08,24,12,760,1.92
540,"2023-01-08 00:00:00",135,13,4.6,5,14,760,0.4
218,"2023-01-09 00:00:00",10,0,5106,5550,6,760,444
385,"2023-01-09 00:00:00",30,7,0.92,1,9,760,0.08
469,"2023-01-09 00:00:00",20,6,56.12,61,17,760,4.88
655,"2023-01-09 00:00:00",60,5,11.04,12,11,760,0.96
72,"2023-01-09 00:00:00",50,14,41.4,45,1,760,3.6
13,"2023-01-09 00:00:00",130,36,11.04,12,3,760,0.96
534,"2023-01-09 00:00:00",90,15,16.56,18,6,760,1.44
285,"2023-01-09 00:00:00",15,1,4.6,5,4,760,0.4
318,"2023-01-09 00:00:00",90,32,4.6,5,5,760,0.4
564,"2023-01-09 00:00:00",70,19,43.24,47,17,760,3.76
290,"2023-01-09 00:00:00",85,12,1.38,1.5,6,760,0.12
459,"2023-01-10 00:00:00",170,29,1.472,1.6,19,760,0.128
534,"2023-01-10 00:00:00",90,15,16.56,18,12,760,1.44
108,"2023-01-10 00:00:00",130,34,28.704,31.2,5,760,2.496
577,"2023-01-10 00:00:00",80,21,13.8,15,6,760,1.2
42,"2023-01-10 00:00:00",200,51,1.2266666666667,1.3333333333333,18,760,0.10666666666667
161,"2023-01-10 00:00:00",130,37,1.84,2,8,760,0.16
128,"2023-01-10 00:00:00",30,5,17.48,19,2,760,1.52
329,"2023-01-10 00:00:00",50,25,1.84,2,1,760,0.16
214,"2023-01-10 00:00:00",30,6,41.4,45,11,760,3.6
141,"2023-01-10 00:00:00",115,25,0.92,1,14,760,0.08
376,"2023-01-11 00:00:00",25,7,20.24,22,13,760,1.76
81,"2023-01-11 00:00:00",60,14,6.44,7,7,760,0.56
73,"2023-01-11 00:00:00",115,32,9.2,10,15,760,0.8
324,"2023-01-11 00:00:00",15,9,32.2,35,11,760,2.8
50,"2023-01-11 00:00:00",105,25,10.12,11,2,760,0.88
81,"2023-01-11 00:00:00",60,14,6.44,7,12,760,0.56
80,"2023-01-11 00:00:00",60,24,11.96,13,4,760,1.04
13,"2023-01-11 00:00:00",130,36,11.04,12,11,760,0.96
462,"2023-01-11 00:00:00",90,23,4.6,5,16,760,0.4
384,"2023-01-11 00:00:00",70,20,0.138,0.15,6,760,0.012
548,"2023-01-11 00:00:00",45,11,7.36,8,3,760,0.64
69,"2023-01-12 00:00:00",95,26,14.72,16,1,760,1.28
540,"2023-01-12 00:00:00",135,13,4.6,5,17,760,0.4
394,"2023-01-12 00:00:00",30,8,1.84,2,12,760,0.16
461,"2023-01-12 00:00:00",120,26,1.196,1.3,1,760,0.104
197,"2023-01-12 00:00:00",155,35,26.68,29,2,760,2.32
487,"2023-01-12 00:00:00",40,7,45.08,49,12,760,3.92
384,"2023-01-12 00:00:00",70,20,0.138,0.15,2,760,0.012
465,"2023-01-12 00:00:00",15,0,266.8,290,14,760,23.2
530,"2023-01-12 00:00:00",145,25,3.68,4,11,760,0.32
172,"2023-01-12 00:00:00",55,8,3.68,4,14,760,0.32
115,"2023-01-12 00:00:00",25,6,478.4,520,7,760,41.6
21,"2023-01-12 00:00:00",75,24,12.88,14,8,760,1.12
22,"2023-01-12 00:00:00",100,19,11.04,12,7,760,0.96
54,"2023-01-12 00:00:00",100,33,9.2,10,12,760,0.8
80,"2023-01-12 00:00:00",60,24,11.96,13,2,760,1.04
429,"2023-01-13 00:00:00",145,31,9.2,10,2,760,0.8
87,"2023-01-13 00:00:00",45,8,18.4,20,9,760,1.6
186,"2023-01-13 00:00:00",175,47,2.3,2.5,16,760,0.2
377,"2023-01-13 00:00:00",110,15,0.368,0.4,2,760,0.032
426,"2023-01-13 00:00:00",90,8,156.4,170,15,760,13.6
604,"2023-01-13 00:00:00",35,8,29.44,32,17,760,2.56
564,"2023-01-13 00:00:00",70,19,43.24,47,11,760,3.76
129,"2023-01-13 00:00:00",60,18,0.92,1,9,760,0.08
575,"2023-01-13 00:00:00",100,26,6.44,7,19,760,0.56
613,"2023-01-13 00:00:00",30,8,25.76,28,4,760,2.24
454,"2023-01-13 00:00:00",60,25,9.2,10,6,760,0.8
608,"2023-01-13 00:00:00",10,3,92,100,2,760,8
273,"2023-01-13 00:00:00",15,1,41.4,45,4,760,3.6
84,"2023-01-13 00:00:00",70,11,18.4,20,17,760,1.6
204,"2023-01-14 00:00:00",25,7,1275.12,1386,18,760,110.88
401,"2023-01-14 00:00:00",35,3,3.68,4,3,760,0.32
20,"2023-01-14 00:00:00",90,21,20.24,22,1,760,1.76
63,"2023-01-14 00:00:00",95,24,5.06184,5.502,7,760,0.44016
197,"2023-01-14 00:00:00",155,35,26.68,29,7,760,2.32
230,"2023-01-14 00:00:00",90,27,9.2,10,1,760,0.8
181,"2023-01-14 00:00:00",60,10,46,50,2,760,4
530,"2023-01-14 00:00:00",145,25,3.68,4,14,760,0.32
29,"2023-01-14 00:00:00",105,21,151.8,165,12,760,13.2
425,"2023-01-14 00:00:00",100,22,50.6,55,14,760,4.4
399,"2023-01-15 00:00:00",40,13,18.4,20,18,760,1.6
269,"2023-01-15 00:00:00",20,3,46,50,12,760,4
3,"2023-01-15 00:00:00",110,47,23,25,2,760,2
652,"2023-01-15 00:00:00",70,16,16.56,18,12,760,1.44
332,"2023-01-15 00:00:00",60,17,46,50,2,760,4
52,"2023-01-15 00:00:00",125,35,7.36,8,13,760,0.64
174,"2023-01-15 00:00:00",40,15,13.8,15,1,760,1.2
234,"2023-01-15 00:00:00",60,24,32.2,35,14,760,2.8
12,"2023-01-16 00:00:00",160,34,7.36,8,14,760,0.64
539,"2023-01-16 00:00:00",125,22,3.22,3.5,17,760,0.28
519,"2023-01-16 00:00:00",125,16,0.368,0.4,12,760,0.032
580,"2023-01-16 00:00:00",80,9,9.2,10,18,760,0.8
529,"2023-01-16 00:00:00",60,19,15.64,17,14,760,1.36
321,"2023-01-16 00:00:00",110,22,1.84,2,1,760,0.16
213,"2023-01-16 00:00:00",15,9,55.2,60,4,760,4.8
372,"2023-01-16 00:00:00",105,15,36.8,40,19,760,3.2
521,"2023-01-17 00:00:00",110,7,1.84,2,19,760,0.16
13,"2023-01-17 00:00:00",130,36,11.04,12,11,760,0.96
16,"2023-01-17 00:00:00",80,41,4.6,5,1,760,0.4
301,"2023-01-17 00:00:00",65,12,23,25,6,760,2
290,"2023-01-17 00:00:00",85,12,1.38,1.5,8,760,0.12
61,"2023-01-17 00:00:00",175,25,3.68,4,3,760,0.32
268,"2023-01-17 00:00:00",100,21,36.8,40,9,760,3.2
426,"2023-01-17 00:00:00",90,8,156.4,170,16,760,13.6
539,"2023-01-17 00:00:00",125,22,3.22,3.5,18,760,0.28
70,"2023-01-18 00:00:00",30,9,32.20184,35.002,13,760,2.80016
408,"2023-01-18 00:00:00",35,2,41.4,45,8,760,3.6
146,"2023-01-18 00:00:00",25,13,46,50,6,760,4
203,"2023-01-18 00:00:00",70,20,18.4,20,5,760,1.6
650,"2023-01-18 00:00:00",25,4,23,25,15,760,2
489,"2023-01-18 00:00:00",5,0,46,50,1,760,4
596,"2023-01-19 00:00:00",30,8,266.8,290,11,760,23.2
38,"2023-01-19 00:00:00",80,12,4.6,5,2,760,0.4
320,"2023-01-19 00:00:00",115,37,9.2,10,15,760,0.8
92,"2023-01-19 00:00:00",110,25,4.6,5,7,760,0.4
73,"2023-01-20 00:00:00",115,32,9.2,10,15,760,0.8
171,"2023-01-20 00:00:00",70,13,8.28,9,16,760,0.72
185,"2023-01-20 00:00:00",110,21,4.6,5,1,760,0.4
460,"2023-01-20 00:00:00",115,19,3.22,3.5,11,760,0.28
84,"2023-01-20 00:00:00",70,11,18.4,20,8,760,1.6
338,"2023-01-21 00:00:00",120,28,8.28,9,16,760,0.72
316,"2023-01-21 00:00:00",60,22,1.38,1.5,15,760,0.12
572,"2023-01-21 00:00:00",135,41,3.22,3.5,9,760,0.28
28,"2023-01-21 00:00:00",110,44,18.4,20,2,760,1.6
116,"2023-01-21 00:00:00",105,13,13.8,15,12,760,1.2
319,"2023-01-21 00:00:00",120,24,7.36,8,13,760,0.64
552,"2023-01-21 00:00:00",35,4,23,25,14,760,2
267,"2023-01-21 00:00:00",50,9,59.8,65,13,760,5.2
475,"2023-01-21 00:00:00",45,16,24.84,27,13,760,2.16
195,"2023-01-21 00:00:00",110,21,18.4,20,16,760,1.6
102,"2023-01-22 00:00:00",95,12,13.8,15,5,760,1.2
79,"2023-01-22 00:00:00",20,12,59.8,65,1,760,5.2
81,"2023-01-22 00:00:00",60,14,6.44,7,1,760,0.56
224,"2023-01-22 00:00:00",40,12,32.2,35,6,760,2.8
193,"2023-01-22 00:00:00",175,47,3.22,3.5,14,760,0.28
540,"2023-01-22 00:00:00",135,13,4.6,5,19,760,0.4
413,"2023-01-22 00:00:00",130,25,0.736,0.8,1,760,0.064
482,"2023-01-22 00:00:00",15,0,13.34,14.5,7,760,1.16
52,"2023-01-22 00:00:00",125,35,7.36,8,1,760,0.64
27,"2023-01-22 00:00:00",105,33,16.56,18,3,760,1.44
287,"2023-01-22 00:00:00",145,30,16.56,18,17,760,1.44
105,"2023-01-22 00:00:00",110,27,64.4,70,9,760,5.6
16,"2023-01-23 00:00:00",80,41,4.6,5,11,760,0.4
9,"2023-01-23 00:00:00",45,3,184,200,3,760,16
116,"2023-01-23 00:00:00",105,13,13.8,15,14,760,1.2
5,"2023-01-23 00:00:00",50,7,41.4,45,1,760,3.6
140,"2023-01-23 00:00:00",105,40,0.736,0.8,4,760,0.064
198,"2023-01-23 00:00:00",175,23,0.368,0.4,3,760,0.032
649,"2023-01-23 00:00:00",80,22,22.08,24,9,760,1.92
20,"2023-01-23 00:00:00",90,21,20.24,22,19,760,1.76
21,"2023-01-23 00:00:00",75,24,12.88,14,1,760,1.12
233,"2023-01-23 00:00:00",120,13,27.6,30,8,760,2.4
520,"2023-01-23 00:00:00",150,15,0.92,1,6,760,0.08
569,"2023-01-23 00:00:00",15,1,13.8,15,4,760,1.2
105,"2023-01-23 00:00:00",110,27,64.4,70,15,760,5.6
109,"2023-01-23 00:00:00",25,8,46,50,8,760,4
459,"2023-01-23 00:00:00",170,29,1.472,1.6,7,760,0.128
290,"2023-01-23 00:00:00",85,12,1.38,1.5,5,760,0.12
82,"2023-01-24 00:00:00",45,2,1.84,2,2,760,0.16
459,"2023-01-24 00:00:00",170,29,1.472,1.6,12,760,0.128
419,"2023-01-24 00:00:00",95,26,87.4,95,7,760,7.6
460,"2023-01-24 00:00:00",115,19,3.22,3.5,7,760,0.28
246,"2023-01-24 00:00:00",25,12,15.64,17,2,760,1.36
59,"2023-01-24 00:00:00",110,17,2.024,2.2,16,760,0.176
44,"2023-01-24 00:00:00",155,39,1.38,1.5,9,760,0.12
161,"2023-01-24 00:00:00",130,37,1.84,2,9,760,0.16
133,"2023-01-24 00:00:00",35,14,170.2,185,16,760,14.8
256,"2023-01-24 00:00:00",95,23,923.68,1004,7,760,80.32
30,"2023-01-24 00:00:00",105,13,151.8,165,17,760,13.2
594,"2023-01-24 00:00:00",15,4,92,100,8,760,8
428,"2023-01-24 00:00:00",180,35,6.44,7,2,760,0.56
38,"2023-01-24 00:00:00",80,12,4.6,5,12,760,0.4
225,"2023-01-24 00:00:00",45,15,41.4,45,1,760,3.6
208,"2023-01-24 00:00:00",110,15,67.16,73,9,760,5.84
